symbol,organ_name,en_organ_name,exchange,type
VUA,CTCP Chứng khoán Stanley Brothers,Stanley Brothers Securities Incorporation,UPCOM,stock
VGV,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP,Vietnam National Construction Consultant Corporation - JSC,UPCOM,stock
TCM,CTCP Dệt may - Đầu tư - Thương mại Thành Công,Thanh Cong Textile Garment Investment Trading Joint Stock Company,HOSE,stock
VPD,CTCP Phát triển Điện lực Việt Nam,Vietnam Power Development Joint Stock Company,HOSE,stock
BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc,Bao Ngoc Investment Group Joint Stock Company,HNX,stock
HMG,CTCP Kim khí Hà Nội - VNSTEEL,VNSTEEL - HaNoi Steel Corporation,UPCOM,stock
LTC,CTCP Điện nhẹ Viễn Thông,Low Current - Telecom Joint Stock Company,UPCOM,stock
CDR,CTCP Xây dựng Cao su Đồng Nai,Dong Nai Rubber Construction Joint Stock Company,UPCOM,stock
A32,CTCP 32,32 Joint Stock Company,UPCOM,stock
L61,CTCP Lilama 69-1,Lilama 69-1 Joint Stock Company,UPCOM,stock
VWS,CTCP Nước và Môi Trường Việt Nam,"Vietnam Water, Sanitation and Environment Joint Stock Company",UPCOM,stock
CH5,CTCP Xây dựng Số 5 Hà Nội,HaNoi Construction Joint Stock Company No5,UPCOM,stock
BMI,Tổng Công ty cổ phần Bảo Minh,Bao Minh Insurance Corporation,HOSE,stock
VES,CTCP Đầu tư và Xây dựng Điện Mê Ca Vneco,Me Ca Vneco Investment and Electricity Construction Joint Stock Company,UPCOM,stock
HGM,CTCP Cơ khí và Khoáng sản Hà Giang,Ha Giang Mineral and Mechanics Joint Stock Company,HNX,stock
HDG,CTCP Tập đoàn Hà Đô,Ha Do Group Joint Stock Company,HOSE,stock
TNB,CTCP Thép Nhà Bè - VNSTEEL,VNSTEEL - Nha Be Steel Joint Stock Company,UPCOM,stock
GLC,CTCP Vàng Lào Cai,Lao Cai Gold Joint Stock Company,UPCOM,stock
KSV,Tổng Công ty Khoáng sản TKV - CTCP,Vinacomin - Minerals Holding Corporation,HNX,stock
MQB,CTCP Môi trường và Phát triển Đô thị Quảng Bình,Quang Binh Environment and Urban Development Joint Stock Company,UPCOM,stock
